"view_count"	"like_count"	"dislike_count"	"duration"	"id"	
264914	13590	100	1466.0	"Bf_NxDVfp0I"	
216601	10493	60	1452.0	"2xfQaP7ILQM"	
207560	10131	55	1979.0	"tamfX73sQ7k"	
394312	14650	115	1876.0	"Gomvsxjnkf8"	
208020	9773	60	1599.0	"GREw3-2d9Cs"	
131046	5758	52	2026.0	"FdWJ73q0HSk"	
421627	17758	120	2207.0	"p8jM7UhKZBs"	
108668	4563	40	1561.0	"i-FxeJdUoVo"	
96849	4318	35	1766.0	"aNeMbX0Gp0c"	
212980	9837	53	1865.0	"oz3imz_V5pw"	
89832	4045	31	1451.0	"VbjNC3k7iZA"	
101780	4116	24	1266.0	"3En7KdCV8B8"	
206267	10196	55	1630.0	"pnTxRXNoGnE"	
112148	4872	53	1565.0	"tPIpqbbdFA4"	
120961	5232	52	1536.0	"D7vlNCfbwuY"	
124893	5217	52	1392.0	"oQC7_A31lVg"	
388790	16437	114	1733.0	"VZ_434egttQ"	
136592	5963	53	1703.0	"-ypSO7MExoI"	
243782	11639	78	1703.0	"kt-BpRLElQE"	
183690	6765	70	1681.0	"UbfpU5iwcTI"	
403134	23810	158	1061.0	"F2VmY0U2whY"	
130005	5725	35	1499.0	"pG2oKXm9rm0"	
133766	5986	53	1561.0	"8VraaUusZcs"	
129949	5741	47	1743.0	"ktGLbAXQUZY"	
145836	6275	46	1618.0	"xNLcm_cD-9U"	
157681	6453	57	1408.0	"4qbGxG5wecI"	
237917	11042	81	1985.0	"Md7m0_Xy8-Q"	
161858	6518	77	1686.0	"gOvm17ctwGI"	
189656	7649	84	1882.0	"Mrbm23RUubM"	
199247	8116	60	1584.0	"tOn09DAXNqs"	
450556	18054	140	1711.0	"f5XliP8Qe20"	
229079	9088	74	1478.0	"son0sie_Ago"	
405874	15664	176	1537.0	"Zcekh9tDw7k"	
253911	11363	65	1939.0	"SrFl035zqjk"	
107037	7112	34	992.0	"Hjp34B_UeMI"	
113584	5601	37	1787.0	"o3loWpkL1vM"	
